PROV_CODE,AMP_CODE,TAM_CODE,PROV_NAMT,PROV_NAME,AMP_NAMT,AMP_NAME,TAM_NAMT,TAM_NAME,PA,tumbol_ID,amenity,name,name_th,layer
45,2,13,ร้อยเอ็ด,ROI ET,เกษตรวิสัย,KASET WISAI,ดงครั่งน้อย,DONG KHRANG NOI,4502,450213,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล ดงครั่งน้อย,,clinic
53,3,6,อุตรดิตถ์,UTTARADIT,ท่าปลา,THA PLA,ท่าแฝก,THA FAEK,5303,530306,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล ท่าแฝก,,clinic
41,6,9,อุดรธานี,UDON THANI,หนองหาน,NONG HAN,บ้านเชียง,BAN CHIANG,4106,410609,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล บ้านเชียง,,clinic
42,8,6,เลย,LOEI,ท่าลี่,THA LI,น้ำทูน,NAM THUN,4208,420806,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล แก่งม่วง,,clinic
40,17,6,ขอนแก่น,KHON KAEN,มัญจาคีรี,MANCHA KHIRI,นาข่า,NA KHA,4017,401706,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล นาข่า,,clinic
36,10,2,ชัยภูมิ,CHAIYAPHUM,ภูเขียว,PHU KHIAO,กวางโจน,KWANG CHON,3610,361002,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล บ้านหนองศาลา,,clinic
42,10,5,เลย,LOEI,ภูกระดึง,PHU KRADUENG,ผานกเค้า,PHA NOK KHAO,4210,421005,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล บ้านห้วยส้มใต้,,clinic
39,3,8,หนองบัวลำภู,NONG BUA LAM PHU,โนนสัง,NON SANG,โคกม่วง,KHOK MUANG,3903,390308,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล โคกม่วง,,clinic
40,8,2,ขอนแก่น,KHON KAEN,อุบลรัตน์,UBOLRATANA,บ้านดง,BAN DONG,4008,400802,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล บ้านคำปลาหลาย,,clinic
41,5,3,อุดรธานี,UDON THANI,โนนสะอาด,NON SA-AT,โพธิ์ศรีสำราญ,PHO SI SAMRAN,4105,410503,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล โพธิ์ศรีสำราญ,,clinic
41,21,2,อุดรธานี,UDON THANI,หนองแสง,NONG SAENG,แสงสว่าง,SAENG SAWANG,4121,412102,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล บ้านท่าสี,,clinic
41,6,11,อุดรธานี,UDON THANI,หนองหาน,NONG HAN,โพนงาม,PHON NGAM,4106,410611,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล โพนงาม,,clinic
40,1,4,ขอนแก่น,KHON KAEN,เมืองขอนแก่น,MUEANG KHON KAEN,ท่าพระ,THA PHRA,4001,400104,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล หนองบัวดีหมี,,clinic
40,10,14,ขอนแก่น,KHON KAEN,บ้านไผ่,BAN PHAI,หินตั้ง,HIN TANG,4010,401014,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล หินตั้ง,,clinic
40,10,9,ขอนแก่น,KHON KAEN,บ้านไผ่,BAN PHAI,บ้านลาน,BAN LAN,4010,401009,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล บ้านลาน,,clinic
40,17,2,ขอนแก่น,KHON KAEN,มัญจาคีรี,MANCHA KHIRI,สวนหม่อน,SUAN MON,4017,401702,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล สวนหม่อน,,clinic
40,7,4,ขอนแก่น,KHON KAEN,น้ำพอง,NAM PHONG,บัวใหญ่,BUA YAI,4007,400704,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล บัวใหญ่,,clinic
40,8,1,ขอนแก่น,KHON KAEN,อุบลรัตน์,UBOLRATANA,โคกสูง,KHOK SUNG,4008,400801,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล บ้านโคกสูง,,clinic
40,9,5,ขอนแก่น,KHON KAEN,กระนวน,KRANUAN,ห้วยโจด,HUAI CHOT,4009,400905,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล ห้วยโจด,,clinic
40,7,7,ขอนแก่น,KHON KAEN,น้ำพอง,NAM PHONG,บ้านขาม,BAN KHAM,4007,400707,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล บ้านขาม,,clinic
40,21,1,ขอนแก่น,KHON KAEN,ซำสูง,SAM SUNG,กระนวน,KRANUAN,4021,402101,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล กระนวน,,clinic
40,21,4,ขอนแก่น,KHON KAEN,ซำสูง,SAM SUNG,คูคำ,KHU KHAM,4021,402104,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล คูคำ,,clinic
40,21,3,ขอนแก่น,KHON KAEN,ซำสูง,SAM SUNG,บ้านโนน,BAN NON,4021,402103,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล บ้านโนน,,clinic
44,5,8,มหาสารคาม,MAHA SARAKHAM,เชียงยืน,CHIANG YUEN,เสือเฒ่า,SUEA THAO,4405,440508,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล เสือเฒ่า,,clinic
44,5,6,มหาสารคาม,MAHA SARAKHAM,เชียงยืน,CHIANG YUEN,กู่ทอง,KU THONG,4405,440506,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล บ้านขามเปี้ย,โรงพยาบาลส่งเสริมสุขภาพตำบล บ้านขามเปี้ย,clinic
40,1,10,ขอนแก่น,KHON KAEN,เมืองขอนแก่น,MUEANG KHON KAEN,บ้านค้อ,BAN KHO,4001,400110,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล บ้านซำจาน,,clinic
40,7,6,ขอนแก่น,KHON KAEN,น้ำพอง,NAM PHONG,ม่วงหวาน,MUANG WAN,4007,400706,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล ม่วงหวาน,,clinic
40,1,18,ขอนแก่น,KHON KAEN,เมืองขอนแก่น,MUEANG KHON KAEN,โนนท่อน,NON THON,4001,400118,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล โนนท่อน,,clinic
40,1,8,ขอนแก่น,KHON KAEN,เมืองขอนแก่น,MUEANG KHON KAEN,สาวะถี,SAWATHI,4001,400108,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล บ้านโนนรัง,,clinic
40,2,2,ขอนแก่น,KHON KAEN,บ้านฝาง,BAN FANG,ป่าหวายนั่ง,PA WAI NANG,4002,400202,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล ปาหวายนั่ง,,clinic
40,2,4,ขอนแก่น,KHON KAEN,บ้านฝาง,BAN FANG,บ้านเหล่า,BAN LAO,4002,400204,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล บ้านแดง,,clinic
40,2,5,ขอนแก่น,KHON KAEN,บ้านฝาง,BAN FANG,ป่ามะนาว,PA MANAO,4002,400205,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล ป่ามะนาว,,clinic
40,2,3,ขอนแก่น,KHON KAEN,บ้านฝาง,BAN FANG,โนนฆ้อง,NON KHONG,4002,400203,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล โนนฆ้อง,,clinic
40,1,9,ขอนแก่น,KHON KAEN,เมืองขอนแก่น,MUEANG KHON KAEN,บ้านหว้า,BAN WA,4001,400109,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล บ้านหว้า,,clinic
40,2,1,ขอนแก่น,KHON KAEN,บ้านฝาง,BAN FANG,หนองบัว,NONG BUA,4002,400201,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล หนองบัว,,clinic
40,4,2,ขอนแก่น,KHON KAEN,หนองเรือ,NONG RUEA,บ้านเม็ง,BAN MENG,4004,400402,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล บ้านเม็ง,,clinic
40,4,5,ขอนแก่น,KHON KAEN,หนองเรือ,NONG RUEA,จระเข้,CHORAKHE,4004,400405,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล จระเข้,,clinic
40,4,2,ขอนแก่น,KHON KAEN,หนองเรือ,NONG RUEA,บ้านเม็ง,BAN MENG,4004,400402,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล บ้านเหมือดแอ่,,clinic
40,4,4,ขอนแก่น,KHON KAEN,หนองเรือ,NONG RUEA,ยางคำ,YANG KHAM,4004,400404,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล ยางคำ,,clinic
40,4,3,ขอนแก่น,KHON KAEN,หนองเรือ,NONG RUEA,บ้านกง,BAN KONG,4004,400403,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล บ้านกง,,clinic
40,4,10,ขอนแก่น,KHON KAEN,หนองเรือ,NONG RUEA,บ้านผือ,BAN PHUE,4004,400410,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล บ้านผือ,,clinic
40,4,1,ขอนแก่น,KHON KAEN,หนองเรือ,NONG RUEA,หนองเรือ,NONG RUEA,4004,400401,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล หนองเรือ,,clinic
40,4,6,ขอนแก่น,KHON KAEN,หนองเรือ,NONG RUEA,โนนทอง,NON THONG,4004,400406,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล บ้านทรัพย์เจริญ,,clinic
40,4,6,ขอนแก่น,KHON KAEN,หนองเรือ,NONG RUEA,โนนทอง,NON THONG,4004,400406,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล โนนทอง,,clinic
40,16,6,ขอนแก่น,KHON KAEN,ภูเวียง,PHU WIANG,นาชุมแสง,NA CHUM SAENG,4016,401606,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล นาชุมแสง,,clinic
40,5,5,ขอนแก่น,KHON KAEN,ชุมแพ,CHUM PHAE,ขัวเรียง,KHUA RIANG,4005,400505,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล ขัวเรียง,,clinic
40,5,11,ขอนแก่น,KHON KAEN,ชุมแพ,CHUM PHAE,หนองเสาเล้า,NONG SAO LAO,4005,400511,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล หนองเสาเล้า,,clinic
40,5,5,ขอนแก่น,KHON KAEN,ชุมแพ,CHUM PHAE,ขัวเรียง,KHUA RIANG,4005,400505,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล บ้านโคกม่วง,,clinic
40,4,9,ขอนแก่น,KHON KAEN,หนองเรือ,NONG RUEA,โนนสะอาด,NON SA-AT,4004,400409,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล โนนสะอาด,,clinic
40,4,7,ขอนแก่น,KHON KAEN,หนองเรือ,NONG RUEA,กุดกว้าง,KUT KWANG,4004,400407,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล โนนฟันเรือ,,clinic
40,4,7,ขอนแก่น,KHON KAEN,หนองเรือ,NONG RUEA,กุดกว้าง,KUT KWANG,4004,400407,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล นาเพียง,,clinic
40,5,9,ขอนแก่น,KHON KAEN,ชุมแพ,CHUM PHAE,นาเพียง,NA PHIANG,4005,400509,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล บ้านหนองผือ,,clinic
40,5,9,ขอนแก่น,KHON KAEN,ชุมแพ,CHUM PHAE,นาเพียง,NA PHIANG,4005,400509,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล บ้านโนนสาวเอ้,,clinic
40,5,4,ขอนแก่น,KHON KAEN,ชุมแพ,CHUM PHAE,โนนอุดม,NON UDOM,4005,400504,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล โนนอุดม,,clinic
40,4,8,ขอนแก่น,KHON KAEN,หนองเรือ,NONG RUEA,โนนทัน,NON THAN,4004,400408,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล บ้านหว้า,,clinic
40,4,9,ขอนแก่น,KHON KAEN,หนองเรือ,NONG RUEA,โนนสะอาด,NON SA-AT,4004,400409,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล บ้านโนนสวรรค์,,clinic
40,4,7,ขอนแก่น,KHON KAEN,หนองเรือ,NONG RUEA,กุดกว้าง,KUT KWANG,4004,400407,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล กุดกว้าง,,clinic
40,4,8,ขอนแก่น,KHON KAEN,หนองเรือ,NONG RUEA,โนนทัน,NON THAN,4004,400408,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล โนนทัน,,clinic
32,5,10,สุรินทร์,SURIN,ปราสาท,PRASAT,บ้านไทร,BAN SAI,3205,320510,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล บ้านไทร,,clinic
40,7,12,ขอนแก่น,KHON KAEN,น้ำพอง,NAM PHONG,กุดน้ำใส,KUT NAM SAI,4007,400712,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล กุดน้ำใส,,clinic
40,8,6,ขอนแก่น,KHON KAEN,อุบลรัตน์,UBOLRATANA,ทุ่งโป่ง,THUNG PONG,4008,400806,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล ทุ่งโป่ง,,clinic
40,8,1,ขอนแก่น,KHON KAEN,อุบลรัตน์,UBOLRATANA,โคกสูง,KHOK SUNG,4008,400801,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล บ้านอุดมศิลป์,,clinic
40,8,2,ขอนแก่น,KHON KAEN,อุบลรัตน์,UBOLRATANA,บ้านดง,BAN DONG,4008,400802,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล บ้านดง,,clinic
40,7,5,ขอนแก่น,KHON KAEN,น้ำพอง,NAM PHONG,สะอาด,SA-AT,4007,400705,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล สะอาด,,clinic
40,7,5,ขอนแก่น,KHON KAEN,น้ำพอง,NAM PHONG,สะอาด,SA-AT,4007,400705,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล บ้านคำบง,โรงพยาบาลส่งเสริมสุขภาพตำบล บ้านคำบง,clinic
40,7,3,ขอนแก่น,KHON KAEN,น้ำพอง,NAM PHONG,หนองกุง,NONG KUNG,4007,400703,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล บ้านนาเรียง,,clinic
20,4,4,ชลบุรี,CHON BURI,บางละมุง,BANG LAMUNG,โป่ง,PONG,2004,200404,clinic,Rehab Scandinavia,,clinic
40,19,3,ขอนแก่น,KHON KAEN,เขาสวนกวาง,KHAO SUAN KWANG,นางิ้ว,NA NGIO,4019,401903,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล บ้านนางิ้ว,,clinic
40,8,5,ขอนแก่น,KHON KAEN,อุบลรัตน์,UBOLRATANA,ศรีสุขสำราญ,SI SUK SAMRAN,4008,400805,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล ศรีสุขสำราญ,,clinic
40,19,4,ขอนแก่น,KHON KAEN,เขาสวนกวาง,KHAO SUAN KWANG,โนนสมบูรณ์,NON SOMBUN,4019,401904,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล โนนสมบูรณ์,,clinic
40,19,2,ขอนแก่น,KHON KAEN,เขาสวนกวาง,KHAO SUAN KWANG,ดงเมืองแอม,DONG MUEANG AM,4019,401902,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล บ้านดงบัง,,clinic
40,19,4,ขอนแก่น,KHON KAEN,เขาสวนกวาง,KHAO SUAN KWANG,โนนสมบูรณ์,NON SOMBUN,4019,401904,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล บ้านป่าเปือย,,clinic
40,19,2,ขอนแก่น,KHON KAEN,เขาสวนกวาง,KHAO SUAN KWANG,ดงเมืองแอม,DONG MUEANG AM,4019,401902,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล บ้านหนองแวงเรือ,,clinic
41,5,6,อุดรธานี,UDON THANI,โนนสะอาด,NON SA-AT,โคกกลาง,KHOK KLANG,4105,410506,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล บ้านหนองแสง,,clinic
40,19,1,ขอนแก่น,KHON KAEN,เขาสวนกวาง,KHAO SUAN KWANG,เขาสวนกวาง,KHAO SUAN KWANG,4019,401901,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล บ้านกกปลาซิว,,clinic
40,7,11,ขอนแก่น,KHON KAEN,น้ำพอง,NAM PHONG,พังทุย,PHANG THUI,4007,400711,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล พังทุย,,clinic
40,7,9,ขอนแก่น,KHON KAEN,น้ำพอง,NAM PHONG,ทรายมูล,SAI MUN,4007,400709,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล บ้านหนองหว้า,,clinic
40,1,2,ขอนแก่น,KHON KAEN,เมืองขอนแก่น,MUEANG KHON KAEN,สำราญ,SAMRAN,4001,400102,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล สำราญ,โรงพยาบาลส่งเสริมสุขภาพตำบล สำราญ,clinic
46,11,4,กาฬสินธุ์,KALASIN,ท่าคันโท,THA KHANTHO,กุดจิก,KUT CHIK,4611,461104,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล บ้านแสนสุข,,clinic
41,1,6,อุดรธานี,UDON THANI,เมืองอุดรธานี,MUEANG UDON THANI,โนนสูง,NON SUNG,4101,410106,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล โนนสูง,โรงพยาบาลส่งเสริมสุขภาพตำบล โนนสูง,clinic
41,1,21,อุดรธานี,UDON THANI,เมืองอุดรธานี,MUEANG UDON THANI,หนองไผ่,NONG PHAI,4101,410121,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล แม่นนท์,โรงพยาบาลส่งเสริมสุขภาพตำบล แม่นนท์,clinic
31,7,2,บุรีรัมย์,BURI RAM,ประโคนชัย,PRAKHON CHAI,แสลงโทน,SALAENG THON,3107,310702,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล แสลงโทน,,clinic
31,1,25,บุรีรัมย์,BURI RAM,เมืองบุรีรัมย์,MUEANG BURI RAM,สะแกซำ,SAKAE SAM,3101,310125,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล บ้านโคกตาล,,clinic
31,1,19,บุรีรัมย์,BURI RAM,เมืองบุรีรัมย์,MUEANG BURI RAM,บัวทอง,BUA THONG,3101,310119,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล บ้านสวายสอ,,clinic
31,21,1,บุรีรัมย์,BURI RAM,บ้านด่าน,BAN DAN,บ้านด่าน,BAN DAN,3121,312101,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล บ้านสองห้อง,,clinic
44,11,7,มหาสารคาม,MAHA SARAKHAM,ยางสีสุราช,YANG SISURAT,หนองบัวสันตุ,NONG BUA SANTU,4411,441107,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล หนองบัวสันตุ,,clinic
39,3,7,หนองบัวลำภู,NONG BUA LAM PHU,โนนสัง,NON SANG,โคกใหญ่,KHOK YAI,3903,390307,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล บ้านหนองตานา,,clinic
39,3,5,หนองบัวลำภู,NONG BUA LAM PHU,โนนสัง,NON SANG,บ้านค้อ,BAN KHO,3903,390305,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล บ้านหนองทุ่ม,,clinic
40,9,9,ขอนแก่น,KHON KAEN,กระนวน,KRANUAN,ดูนสาด,DUN SAT,4009,400909,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล ดูนสาด,,clinic
40,9,7,ขอนแก่น,KHON KAEN,กระนวน,KRANUAN,บ้านฝาง,BAN FANG,4009,400907,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล บ้านทุ่งใหญ่,,clinic
46,8,9,กาฬสินธุ์,KALASIN,ห้วยเม็ก,HUAI MEK,ทรายทอง,SAI THONG,4608,460809,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล ทรายทอง,,clinic
40,9,11,ขอนแก่น,KHON KAEN,กระนวน,KRANUAN,น้ำอ้อม,NAM OM,4009,400911,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล น้ำอ้อม,,clinic
46,8,6,กาฬสินธุ์,KALASIN,ห้วยเม็ก,HUAI MEK,พิมูล,PHIMUN,4608,460806,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล พิมูล,,clinic
40,15,1,ขอนแก่น,KHON KAEN,หนองสองห้อง,NONG SONG HONG,หนองสองห้อง,NONG SONG HONG,4015,401501,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล บ้านเปาะ,,clinic
40,15,8,ขอนแก่น,KHON KAEN,หนองสองห้อง,NONG SONG HONG,ดงเค็ง,DONG KHENG,4015,401508,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล ดงเค็ง,,clinic
40,15,4,ขอนแก่น,KHON KAEN,หนองสองห้อง,NONG SONG HONG,ตะกั่วป่า,TAKUA PA,4015,401504,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล ตะกั่วป่า,,clinic
40,15,6,ขอนแก่น,KHON KAEN,หนองสองห้อง,NONG SONG HONG,หนองเม็ก,NONG MEK,4015,401506,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล หนองเม็ก,,clinic
40,15,9,ขอนแก่น,KHON KAEN,หนองสองห้อง,NONG SONG HONG,หันโจด,HAN CHOT,4015,401509,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล หันโจด,,clinic
40,12,1,ขอนแก่น,KHON KAEN,พล,PHON,เมืองพล,MUEANG PHON,4012,401201,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล เมืองพล,,clinic
40,12,3,ขอนแก่น,KHON KAEN,พล,PHON,โจดหนองแก,CHOT NONG KAE,4012,401203,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล โจดหนองแก,,clinic
40,12,12,ขอนแก่น,KHON KAEN,พล,PHON,โสกนกเต็น,SOK NOK TEN,4012,401212,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล โสกนกเต็น,,clinic
40,15,2,ขอนแก่น,KHON KAEN,หนองสองห้อง,NONG SONG HONG,คึมชาด,KHUEM CHAT,4015,401502,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล คึมชาด,,clinic
40,15,7,ขอนแก่น,KHON KAEN,หนองสองห้อง,NONG SONG HONG,ดอนดู่,DON DU,4015,401507,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล ดอนดู่,,clinic
40,11,3,ขอนแก่น,KHON KAEN,เปือยน้อย,PUEAI NOI,ขามป้อม,KHAM POM,4011,401103,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล ขามป้อม,,clinic
40,11,4,ขอนแก่น,KHON KAEN,เปือยน้อย,PUEAI NOI,สระแก้ว,SA KAEO,4011,401104,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล สระแก้ว,,clinic
10,7,2,กรุงเทพมหานคร,BANGKOK,ปทุมวัน,PATHUM WAN,วังใหม่,WANG MAI,1007,100702,clinic,ศูนย์บริการสุขภาพแห่งจุฬาลงกรณ์มหาวิทยาลัย,,clinic
31,14,2,บุรีรัมย์,BURI RAM,หนองหงส์,NONG HONG,ห้วยหิน,HUAI HIN,3114,311402,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล ห้วยหิน,,clinic
30,22,3,นครราชสีมา,NAKHON RATCHASIMA,หนองบุญมาก,NONG BUN MAK,ไทยเจริญ,THAI CHAROEN,3022,302203,clinic,โรงพยาบาลส่งเสริมสุขภาพตำบล ซับตะคร้อ,,clinic
